Bank,Period,Indicator table,Element,Sub-element,AZN,FS Line,Item,Currency,Amount vs Share,Total,31-60 days,61-90 days,91+ days,31-60 days_share%inLP,61-90 days_share%inLP,91+ days_share%inLP
abb_bank,2022_Q2,Balance Sheet,3.4.1,EQUITY,5012173.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4.2,EQUITY,3273334.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4.3,EQUITY,7130766.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,4,LIABILITY+EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.4,ASSETS,1209587.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.1,ASSETS,92576105.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.5,ASSETS,-26126847.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.7,ASSETS,1962649.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.2,LIABILITY,788.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.3,LIABILITY,30078005.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.4,LIABILITY,592680700.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.5,LIABILITY,2050513.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.6,LIABILITY,1607753.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.4,EQUITY,15846739.0,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.4.3,EQUITY,7237447.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.4,ASSETS,118541.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.1,ASSETS,97270819.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.5,ASSETS,-29284101.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.7,ASSETS,17574.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.2,LIABILITY,788.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.3,LIABILITY,22623468.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.4,LIABILITY,520962800.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.5,LIABILITY,4307312.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.6,LIABILITY,1582605.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.4,EQUITY,19608986.0,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.4.3,EQUITY,8598318.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.4,ASSETS,109111.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.5,ASSETS,-31341921.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.7,ASSETS,1552341.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.2,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.3,LIABILITY,29780921.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.4,LIABILITY,5093348.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.5,LIABILITY,2931016.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.6,LIABILITY,1582605.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.4,EQUITY,19596999.0,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.4.3,EQUITY,8538886.0,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.4,ASSETS,1611824.0,,,,,,,,,,,
