,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-,,tot-15-30,FXAZNEqui-15-,tot-31-60,FXAZNEqui-31-,tot-61-90,FXAZNEqui-61-,tot-91-120,FXAZNEqui-91-,tot-121-150,FXAZNEqui-121-,tot-151-180,FXAZNEqui-151-,tot-181-210,FXAZNEqui-181-,tot-211-240,FXAZNEqui-211-,tot-241-270,FXAZNEqui-241-,tot-271-300,FXAZNEqui-271-,tot-301-300,FXAZNEqui 301-,tot-331-365,FXAZNEqui-331-,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,14,,,30,,60,,90,,120,,150,,180,,210,,240,,270,,300,,330,,365,,,,,,,,,,
16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","420.946,99","4.631,73","420.946,99","4.631,73"
məqsədli ehtiyatlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17. Cəmi aktivlər,"1.269.229,26","324.341,72","490.595,49","8.520,16","27.117,65",,"0,00","126.762,53","97,30","178.418,72","840,37","163.195,58","4.091,29","213.884,87","25.145,08","127.767,48","964,81","112.601,04","767,99","83.038,77","387,19","361.041,29","2.731,17","242.433,50","17.784,90","108.507,11","25.950,74","127.782,35","13.158,53","287.377,49","191.566,78","1.561.634,25","230.958,51","769.211,09","206.269,60","430.515,91","79.871,82","1.047.122,27","75.775,69","7.728.236,65","1.209.223,65"
,,,,,,,,,,,,,,,,,,CƏDVƏL A 13 - ÖDƏNİŞ MÜDDƏTLƏRİNİN BÖLGÜSÜ  (davamı),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,
B. Öhdəliklər və kapital,ani,,1-7,,8-14,,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilə (manat ekv.)
liaAndCap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tot-insLia,FXAZNEqui-,tot-0.25,FXAZNEqui-,tot-0.5,FXAZNEqui-0.5,,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,FXAZNEqui-
